StaffId	BuildingId	EmployeeTypeId	JobTitleId	Status	FiscalYear
810099	VES	TEA	Speech	Active	2014
810115	SBO	SBM	Meherrin River	Active	2014
810117	LMS	TEA	Math	Active	2014
810123	KES	IA	SpEd	Active	2014
810128	VES	IA	SpEd	Active	2014
810130	CHS	TEA	JROTC	Inactive	2014
810134	CHS	CUS	Cust	Active	2014
810135	LMS	TEA	Sci	Active	2014
810136	KES	TEA	T1	Active	2014
810137	VES	TEA	03	Active	2014
810138	LMS	TEA	SpEd	Active	2014
810139	VES	IA	SpEd	Inactive	2014
810140	KES	IA	PK	Active	2014
810141	KES	TEA	03	Active	2014
810145	CHS	TEA	JROTC	Active	2014
810146	SBO	ADM	SupTran	Active	2014
810155	KES	TEA	04	Active	2014
810156	SBO	MAN	MntCrew	Active	2014
9045	NON	NON	FamPre	Active	2014
9046	NON	NON	FamPre	Active	2014
GS000	SVCC	NON	GOVS	Active	2014
SS010	CHS	TEA	SVCC	Active	2014
SS020	CHS	TEA	SVCC	Active	2014
SS023	CHS	TEA	SVCC	Active	2014
SS025	CHS	TEA	SVCC	Active	2014
SS026	CHS	TEA	SVCC	Active	2014
SS027	CHS	TEA	SVCC	Active	2014
SS028	CHS	TEA	SVCC	Active	2014
SS029	CHS	TEA	SVCC	Active	2014
